30,11001,4205,7551,13,122,821:935,5,3:2,74.0,0.027027027027
40,148243,3600,16273,13,172,202:433:79:479,2:5:7,3:2,250.0,0.02
30,148949,21978,28890,13,84,847:819:137,3:5,2,31.0,0.0967741935484
33,159410,16676,-1,1,170,787:601:819:229:394:433,8:2:5:7,3:2,40.0,0.2
30,159563,8693,13147,13,84,753:202:229,8:5:6,1:3:2,150.0,0.02
1,171074,22418,29886,13,146,347,2,1,100.0,0.01
40,185338,17735,25715,13,122,1:739:787:601:492,2:5:7:6,1:3:2,110.0,0.0545454545455
34,187076,16039,2406,13,84,847,5,3,200.0,0.005
1,200969,26274,23491,13,202,366,2,3,133.0,0.00751879699248
14,229459,2822,-1,1,18,741:988:601:608:258:202:137:690:972:819:1:0:347:522:367:935:361:753:144:633:677:229:79:847:846:787:829:821:433,1:3:2:5:7:6:8,1:3:2,10.0,13.7
